,station,location,state,do,ph,co,bod,na,tc,water_quality_index
1209,1633,SIMSANG RIVER WILLIAMNAGAR,MIZORAM,8.23,7.38,143.0,1.55,3.55,360.0,2869.78
1210,2050,TLAWNG UPSTREAM AIZAWL,MIZORAM,6.6,7.3,210.0,1.3,,242.0,2866.8
1211,2051,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,6.8,7.2,220.0,1.5,,97.0,2866.8
1212,2052,TUIRIAL UPPER CATCHMENT,MIZORAM,6.8,7.0,317.0,1.5,,45.0,2871.88
1213,2053,TUIRIAL LOWER CATCHMENT,NAN,6.4,6.7,323.0,1.4,,205.0,2859.86
1214,1403,GUMTI AT U/S SOUTH TRIPURA,tripura,6.5,7.7,146.0,1.6,,390.0,2866.98
1215,1404,GUMTI AT D/S SOUTH TRIPURA,tripura,6.2,7.7,176.0,3.5,0.2,592.0,2859.3
1216,1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",tripura,6.3,8.0,198.0,4.2,0.3,686.0,2859.3
1217,1150,NAN,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",7.3,7.4,332.0,0.7,0.3,12.0,2874.6800000000007
1218,1246,NAN,"DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT",6.5,7.5,21417.0,16.4,0.4,37.0,2865.32
1219,2459,NAN,"DAMANGANGA AT ZARI CAUSE WAY BRIDGE,DAMAN",6.1,7.3,11855.0,12.5,18.6,902.0,2854.08
1220,2460,NAN,"DAMANGANGA DISCHARGE POINT OF DISTILLERY, DAMAN",6.3,7.4,24506.0,136.0,16.9,698.0,2840.04
1221,2461,NAN,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",5.9,7.5,25343.0,56.5,7.7,1800.0,1842.48
1222,2462,NAN,"DAMANGANGA VAPI WEIR,VAPI, DAMAN",6.6,7.8,371.0,,4.1,1800.0,2840.04
1223,2463,NAN,"DAMANGANGA AT LAVACHA TEMPLE, SILVASSA",6.2,7.4,368.0,8.0,3.2,1075.0,2854.08
1224,2464,NAN,"DAMANGANGA D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA",6.7,7.7,354.0,4.0,2.6,947.0,2858.76
1225,2465,NAN,"DAMANGANGA AT NAROLI BRIDGE, SILVASSA",6.8,8.0,374.0,21.0,1.5,1800.0,2854.08
1226,2466,NAN,"DAMANGANGA AT VILLAGE NAMDHA, VAPI",5.9,7.4,7173.0,12.0,58.1,607.0,1841.3600000000006
1227,1393,NAN,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",7.3,7.4,332.0,0.7,0.3,12.0,2874.6800000000007
1228,1860,NAN,BALEHWAR KHADI AT N.H. NO. 8,5.7,8.0,601.0,7.4,0.5,28666.0,1831.24
1229,1861,NAN,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,4.7,8.3,753.0,3.7,0.5,21333.0,1049.12
1230,1862,NAN,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,5.8,7.8,16177.0,3.0,0.5,25000.0,1840.6000000000006
1231,1865,NAN,RIVER DHADAR AT KOTHADA,2.5,7.5,1108.0,6.0,0.6,85.0,54.38
1232,1148,NAN,"AMBIKA AT BILIMORA, GUJARAT",6.1,8.1,14921.0,3.2,0.3,23625.0,2847.52
